Time is :640
Time is :638
Time is :585
Time is :593
Time is :600
Time is :568
                                      
We run services for  :6  times.
Average time for each call is   :604  Mill-seconds.
Max time for all calls is   :640 Mill-seconds.
Min time for all calls is   :568 Mill-seconds.
Test with 2000 + input.
Time is :485   this is case:  1   
Time is :497   this is case:  2   
Time is :513   this is case:  3   
Time is :626   this is case:  4   
Time is :479   this is case:  5   
Time is :490   this is case:  6   
Time is :476   this is case:  7   
Time is :502   this is case:  8   
Time is :581   this is case:  9   
Time is :497   this is case:  10   
Time is :477   this is case:  11   
Time is :497   this is case:  12   
Time is :545   this is case:  13   
Time is :503   this is case:  14   
Time is :463   this is case:  15   
Time is :580   this is case:  16   
Time is :547   this is case:  17   
Time is :552   this is case:  18   
Time is :604   this is case:  19   
Time is :593   this is case:  20   
Time is :687   this is case:  21   
Time is :543   this is case:  22   
Time is :532   this is case:  23   
Time is :580   this is case:  24   
Time is :588   this is case:  25   
Time is :669   this is case:  26   
Time is :585   this is case:  27   
Time is :615   this is case:  28   
Time is :519   this is case:  29   
Time is :745   this is case:  30   
Time is :590   this is case:  31   
Time is :605   this is case:  32   
Time is :516   this is case:  33   
Time is :596   this is case:  34   
Time is :472   this is case:  35   
Time is :681   this is case:  36   
Time is :459   this is case:  37   
Time is :492   this is case:  38   
Time is :625   this is case:  39   
Time is :708   this is case:  40   
Time is :628   this is case:  41   
Time is :618   this is case:  42   
Time is :596   this is case:  43   
Time is :598   this is case:  44   
Time is :621   this is case:  45   
Time is :577   this is case:  46   
Time is :586   this is case:  47   
Time is :707   this is case:  48   
Time is :540   this is case:  49   
Time is :691   this is case:  50   
Time is :619   this is case:  51   
Time is :594   this is case:  52   
Time is :609   this is case:  53   
Time is :590   this is case:  54   
Time is :461   this is case:  55   
Time is :582   this is case:  56   
Time is :486   this is case:  57   
Time is :516   this is case:  58   
Time is :519   this is case:  59   
Time is :474   this is case:  60   
Time is :461   this is case:  61   
Time is :527   this is case:  62   
Time is :499   this is case:  63   
Time is :505   this is case:  64   
Time is :484   this is case:  65   
Time is :566   this is case:  66   
Time is :505   this is case:  67   
Time is :744   this is case:  68   
Time is :540   this is case:  69   
Time is :584   this is case:  70   
Time is :578   this is case:  71   
Time is :601   this is case:  72   
Time is :625   this is case:  73   
Time is :623   this is case:  74   
Time is :573   this is case:  75   
Time is :573   this is case:  76   
Time is :614   this is case:  77   
Time is :516   this is case:  78   
Time is :596   this is case:  79   
Time is :601   this is case:  80   
Time is :492   this is case:  81   
Time is :500   this is case:  82   
Time is :505   this is case:  83   
Time is :521   this is case:  84   
Time is :471   this is case:  85   
Time is :497   this is case:  86   
Time is :540   this is case:  87   
Time is :500   this is case:  88   
Time is :559   this is case:  89   
Time is :490   this is case:  90   
Time is :657   this is case:  91   
Time is :493   this is case:  92   
Time is :441   this is case:  93   
Time is :467   this is case:  94   
Time is :618   this is case:  95   
Time is :580   this is case:  96   
Time is :479   this is case:  97   
Time is :684   this is case:  98   
Time is :516   this is case:  99   
Time is :681   this is case:  100   
Time is :478   this is case:  101   
Time is :601   this is case:  102   
Time is :535   this is case:  103   
Time is :574   this is case:  104   
Time is :647   this is case:  105   
Time is :583   this is case:  106   
Time is :577   this is case:  107   
Time is :640   this is case:  108   
Time is :519   this is case:  109   
Time is :672   this is case:  110   
Time is :671   this is case:  111   
Time is :582   this is case:  112   
Time is :617   this is case:  113   
Time is :597   this is case:  114   
Time is :590   this is case:  115   
Time is :625   this is case:  116   
Time is :485   this is case:  117   
Time is :521   this is case:  118   
Time is :569   this is case:  119   
Time is :598   this is case:  120   
Time is :501   this is case:  121   
Time is :505   this is case:  122   
Time is :505   this is case:  123   
Time is :529   this is case:  124   
Time is :485   this is case:  125   
Time is :546   this is case:  126   
Time is :548   this is case:  127   
Time is :629   this is case:  128   
Time is :525   this is case:  129   
Time is :499   this is case:  130   
Time is :559   this is case:  131   
Time is :557   this is case:  132   
Time is :557   this is case:  133   
Time is :580   this is case:  134   
Time is :579   this is case:  135   
Time is :591   this is case:  136   
Time is :588   this is case:  137   
Time is :579   this is case:  138   
Time is :563   this is case:  139   
Time is :490   this is case:  140   
Time is :472   this is case:  141   
Time is :546   this is case:  142   
Time is :481   this is case:  143   
Time is :537   this is case:  144   
Time is :515   this is case:  145   
Time is :565   this is case:  146   
Time is :578   this is case:  147   
Time is :594   this is case:  148   
Time is :552   this is case:  149   
Time is :619   this is case:  150   
Time is :555   this is case:  151   
Time is :605   this is case:  152   
Time is :610   this is case:  153   
Time is :585   this is case:  154   
Time is :509   this is case:  155   
Time is :487   this is case:  156   
Time is :506   this is case:  157   
Time is :527   this is case:  158   
Time is :504   this is case:  159   
Time is :479   this is case:  160   
Time is :456   this is case:  161   
Time is :496   this is case:  162   
Time is :464   this is case:  163   
Time is :492   this is case:  164   
Time is :493   this is case:  165   
Time is :490   this is case:  166   
Time is :608   this is case:  167   
Time is :605   this is case:  168   
Time is :616   this is case:  169   
Time is :614   this is case:  170   
Time is :478   this is case:  171   
Time is :521   this is case:  172   
Time is :475   this is case:  173   
Time is :574   this is case:  174   
Time is :639   this is case:  175   
Time is :489   this is case:  176   
Time is :512   this is case:  177   
Time is :516   this is case:  178   
Time is :474   this is case:  179   
Time is :545   this is case:  180   
Time is :595   this is case:  181   
Time is :590   this is case:  182   
Time is :581   this is case:  183   
Time is :518   this is case:  184   
Time is :518   this is case:  185   
Time is :672   this is case:  186   
Time is :586   this is case:  187   
Time is :582   this is case:  188   
Time is :599   this is case:  189   
Time is :600   this is case:  190   
Time is :587   this is case:  191   
Time is :619   this is case:  192   
Time is :586   this is case:  193   
Time is :610   this is case:  194   
Time is :544   this is case:  195   
Time is :479   this is case:  196   
Time is :596   this is case:  197   
Time is :600   this is case:  198   
Time is :502   this is case:  199   
Time is :692   this is case:  200   
Time is :512   this is case:  201   
Time is :527   this is case:  202   
Time is :504   this is case:  203   
Time is :615   this is case:  204   
Time is :510   this is case:  205   
Time is :596   this is case:  206   
Time is :558   this is case:  207   
Time is :637   this is case:  208   
Time is :632   this is case:  209   
Time is :608   this is case:  210   
Time is :495   this is case:  211   
Time is :499   this is case:  212   
Time is :640   this is case:  213   
Time is :622   this is case:  214   
Time is :610   this is case:  215   
Time is :521   this is case:  216   
Time is :618   this is case:  217   
Time is :600   this is case:  218   
Time is :589   this is case:  219   
Time is :493   this is case:  220   
Time is :700   this is case:  221   
Time is :620   this is case:  222   
Time is :594   this is case:  223   
Time is :589   this is case:  224   
Time is :551   this is case:  225   
Time is :615   this is case:  226   
Time is :595   this is case:  227   
Time is :596   this is case:  228   
Time is :648   this is case:  229   
Time is :474   this is case:  230   
Time is :587   this is case:  231   
Time is :588   this is case:  232   
Time is :521   this is case:  233   
Time is :650   this is case:  234   
Time is :509   this is case:  235   
Time is :524   this is case:  236   
Time is :519   this is case:  237   
Time is :537   this is case:  238   
Time is :478   this is case:  239   
Time is :582   this is case:  240   
Time is :526   this is case:  241   
Time is :503   this is case:  242   
Time is :615   this is case:  243   
Time is :520   this is case:  244   
Time is :528   this is case:  245   
Time is :618   this is case:  246   
Time is :459   this is case:  247   
Time is :551   this is case:  248   
Time is :571   this is case:  249   
Time is :526   this is case:  250   
Time is :490   this is case:  251   
Time is :573   this is case:  252   
Time is :470   this is case:  253   
Time is :511   this is case:  254   
Time is :555   this is case:  255   
Time is :520   this is case:  256   
Time is :484   this is case:  257   
Time is :626   this is case:  258   
Time is :500   this is case:  259   
Time is :520   this is case:  260   
Time is :587   this is case:  261   
Time is :500   this is case:  262   
Time is :509   this is case:  263   
Time is :552   this is case:  264   
Time is :487   this is case:  265   
Time is :606   this is case:  266   
Time is :470   this is case:  267   
Time is :520   this is case:  268   
Time is :484   this is case:  269   
Time is :576   this is case:  270   
Time is :552   this is case:  271   
Time is :587   this is case:  272   
Time is :549   this is case:  273   
Time is :683   this is case:  274   
Time is :495   this is case:  275   
Time is :669   this is case:  276   
Time is :530   this is case:  277   
Time is :680   this is case:  278   
Time is :491   this is case:  279   
Time is :748   this is case:  280   
Time is :545   this is case:  281   
Time is :671   this is case:  282   
Time is :669   this is case:  283   
Time is :621   this is case:  284   
Time is :557   this is case:  285   
Time is :598   this is case:  286   
Time is :458   this is case:  287   
Time is :488   this is case:  288   
Time is :477   this is case:  289   
Time is :484   this is case:  290   
Time is :663   this is case:  291   
Time is :628   this is case:  292   
Time is :467   this is case:  293   
Time is :592   this is case:  294   
Time is :502   this is case:  295   
Time is :505   this is case:  296   
Time is :510   this is case:  297   
Time is :524   this is case:  298   
Time is :487   this is case:  299   
Time is :512   this is case:  300   
Time is :488   this is case:  301   
Time is :652   this is case:  302   
Time is :501   this is case:  303   
Time is :488   this is case:  304   
Time is :597   this is case:  305   
Time is :517   this is case:  306   
Time is :602   this is case:  307   
Time is :463   this is case:  308   
Time is :581   this is case:  309   
Time is :567   this is case:  310   
Time is :553   this is case:  311   
Time is :590   this is case:  312   
Time is :584   this is case:  313   
Time is :588   this is case:  314   
Time is :553   this is case:  315   
Time is :480   this is case:  316   
Time is :709   this is case:  317   
Time is :579   this is case:  318   
Time is :558   this is case:  319   
Time is :554   this is case:  320   
Time is :468   this is case:  321   
Time is :675   this is case:  322   
Time is :484   this is case:  323   
Time is :583   this is case:  324   
Time is :459   this is case:  325   
Time is :697   this is case:  326   
Time is :542   this is case:  327   
Time is :586   this is case:  328   
Time is :621   this is case:  329   
Time is :572   this is case:  330   
Time is :490   this is case:  331   
Time is :499   this is case:  332   
Time is :473   this is case:  333   
Time is :485   this is case:  334   
Time is :471   this is case:  335   
Time is :493   this is case:  336   
Time is :470   this is case:  337   
Time is :489   this is case:  338   
Time is :462   this is case:  339   
Time is :488   this is case:  340   
Time is :477   this is case:  341   
Time is :497   this is case:  342   
Time is :559   this is case:  343   
Time is :489   this is case:  344   
Time is :483   this is case:  345   
Time is :476   this is case:  346   
Time is :476   this is case:  347   
Time is :575   this is case:  348   
Time is :476   this is case:  349   
Time is :565   this is case:  350   
Time is :582   this is case:  351   
Time is :648   this is case:  352   
Time is :601   this is case:  353   
Time is :644   this is case:  354   
Time is :586   this is case:  355   
Time is :666   this is case:  356   
Time is :592   this is case:  357   
