Time is :1385
Time is :1112
Time is :1076
Time is :1290
Time is :991
Time is :969
                                      
We run services for  :6  times.
Average time for each call is   :1137  Mill-seconds.
Max time for all calls is   :1385 Mill-seconds.
Min time for all calls is   :969 Mill-seconds.
Test with 2000 + input.
Time is :1070   this is case:  1   
Time is :1047   this is case:  2   
Time is :1036   this is case:  3   
Time is :1049   this is case:  4   
Time is :1027   this is case:  5   
Time is :1059   this is case:  6   
Time is :1034   this is case:  7   
Time is :1019   this is case:  8   
Time is :885   this is case:  9   
Time is :989   this is case:  10   
Time is :935   this is case:  11   
Time is :937   this is case:  12   
Time is :1041   this is case:  13   
Time is :1018   this is case:  14   
Time is :904   this is case:  15   
Time is :1068   this is case:  16   
Time is :1038   this is case:  17   
Time is :1028   this is case:  18   
Time is :894   this is case:  19   
Time is :1034   this is case:  20   
Time is :1157   this is case:  21   
Time is :1043   this is case:  22   
Time is :1094   this is case:  23   
Time is :2433   this is case:  24   
Time is :1697   this is case:  25   
Time is :1720   this is case:  26   
Time is :909   this is case:  27   
Time is :1090   this is case:  28   
Time is :1085   this is case:  29   
Time is :1198   this is case:  30   
Time is :1051   this is case:  31   
Time is :1164   this is case:  32   
Time is :1085   this is case:  33   
Time is :1056   this is case:  34   
Time is :1012   this is case:  35   
Time is :1057   this is case:  36   
Time is :1045   this is case:  37   
Time is :1034   this is case:  38   
Time is :1077   this is case:  39   
Time is :951   this is case:  40   
Time is :1045   this is case:  41   
Time is :1025   this is case:  42   
Time is :1134   this is case:  43   
Time is :1087   this is case:  44   
Time is :966   this is case:  45   
Time is :1203   this is case:  46   
Time is :1235   this is case:  47   
Time is :1071   this is case:  48   
Time is :1038   this is case:  49   
Time is :1166   this is case:  50   
Time is :1031   this is case:  51   
Time is :1510   this is case:  52   
Time is :1101   this is case:  53   
Time is :1087   this is case:  54   
Time is :1050   this is case:  55   
Time is :1164   this is case:  56   
Time is :891   this is case:  57   
Time is :1171   this is case:  58   
Time is :917   this is case:  59   
Time is :1044   this is case:  60   
Time is :1029   this is case:  61   
Time is :1053   this is case:  62   
Time is :999   this is case:  63   
Time is :1631   this is case:  64   
Time is :907   this is case:  65   
